,Title,location,Posting_date,job_link,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
19,Data Scientist,"US, WA, Bellevue","June  5, 2019",https://www.amazon.jobs/en-gb/jobs/872035/data-scientist,"Hey – there’s a revolution going on! A revolution in digital entertainment. Every day millions of people around the world choose to be more thoughtfully entertained, informed and educated by listening to fascinating stories and all forms of fictional and non-fictional content on their smartphones and other mobile devices.Audible is looking for a Senior Manager Global Insights and Data Science to support our business objectives. The role will be based in Newark (NJ).She/he will make the best of her/his skillset in business, marketing, finance, econometrics, statistics, simulation and business intelligence to describe, explain, quantify, predict, influence and prescribe. She/he will know how to translate business and financial goals into agile, insightful analytics. She/he will seek to create value for both stakeholders and customers, and will convey findings and recommendations in a clear, actionable way to managers and senior leaders.KEY RESPONSIBILITIES· Will support primarily our customer acquisition objectives (upper funnel) with strong hands-on contributions.· Will build analytical products end-to-end (decks, dashboards, data science models, simulations) at scale and at speed, from ideation and data extraction to presenting results to stakeholders (from manager to VP level).· Will provide new and innovative solutions for complex problems, sometimes imagine and invent before stakeholders ask, sometimes using cutting-edge approaches.· Will be a full part of the Audible Global Insight and Data Science team and contribute to the growth of the team, share her/his ideas, intellectual property, and learn from others. In particular will bring Audible to the next stage of marketing and FP&A intelligence capabilities.","·   · MS or MBA preferably with majors in the following discipline: Data Science, Computer Science, Statistics, Economics.  · 3+ years of working experience, if possible in digital customer business, subscription business a plus.  · Experience with Micro-strategy, Tableau or other reporting tools.  · Fluency in SQL.  · Fluency in Python (preferred) and/or R.  · Knowledge of Java or C# a plus  · Exposure to Agile and process management a plus.  · Exposure to AWS technologies a plus.  · Exposure to Spark a plus.","·   · Passion for data (and fearlessness in the face of a data tsunami). Track record of thought leadership and outstanding expertise in analytics.  · Customer- and business obsession, with a bias for action and a drive to create measurable value.  · Willingness to engage with stakeholders, enthuse them for BI and data science benefits.  · Can navigate complex, matrix-shaped organizations and be persuasive and caring with a wide range of diverse, cross-cultural audiences.  · Communication skills must be as polished in person as they are over video- or audio- conferences.  · Ability to thrive in complex business environments defined by uncertain, incomplete or limited information and evolving targets. Comfortable finding (or building) common ground to drive his/her agenda.  · Strong at handling resource and urgency constrains and prioritizing deliveries.Audible is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Audible
20,Data Scientist,"US, WA, Seattle","June  5, 2019",https://www.amazon.jobs/en-gb/jobs/871628/data-scientist,"Do you know Amazon Logistics has grown by 6 times since 2016 in established markets like North America? Do you know that it is handling more than 80% of Amazon shipments in developing countries like India? Curious to develop sustainable solutions that cater to such rapidly scaling business and countries with widely different customer or driver expectations? Interested in modelling and understanding customer behavior through machine learning, artificial intelligence, and data mining over TB scale data with huge business impact on millions of customers?The problems spread across Routing, Maps, Geocoding, Address Normalization, fraud detection, defect attribution, labor planning spaces, etc. Some examples include determining optimal route for a driver to deliver a set of packages with many customer and on-ground constraints. Creating a mapping infrastructure ground-up right from scratch. Detecting and pre-empting anomalous behavior by delivery agents on the road in real time or predicting what will be the average no. of deliveries made per hour by each driver in upcoming week.If you are looking for an opportunity to build creative technology solutions that positively impact hundreds of millions of international customers, and relish large ownership and diverse technologies join our team today!You will collaborate with Data Scientist, engineers, executives, and designers, You will be instrumental in shaping the product direction and will be actively involved in defining key product features that impact the business.Also, will be responsible to set up and hold a high software quality bar besides providing technical direction to a highly technical team of Software Engineers.The ideal candidate will be a leader, quick learner and be able to work independently. He/she should be able to operate in a very fast paced environment where time to hit market is super critical. The candidate will need to balance technical leadership and savvy with strong business judgment to make the right decisions about technology choices.· Basic Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus· Preferred Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","Basic Qualifications- Master’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus",Fulfilment Transportation
21,Applied Scientist,"US, WA, Seattle","June  5, 2019",https://www.amazon.jobs/en-gb/jobs/871585/applied-scientist,"Do you know Amazon Logistics has grown by 6 times since 2016 in established markets like North America? Do you know that it is handling more than 80% of Amazon shipments in developing countries like India? Curious to develop sustainable solutions that cater to such rapidly scaling business and countries with widely different customer or driver expectations? Interested in modelling and understanding customer behavior through machine learning, artificial intelligence, and data mining over TB scale data with huge business impact on millions of customers?The problems spread across Routing, Maps, Geocoding, Address Normalization, fraud detection, defect attribution, labor planning spaces, etc. Some examples include determining optimal route for a driver to deliver a set of packages with many customer and on-ground constraints. Creating a mapping infrastructure ground-up right from scratch. Detecting and pre-empting anomalous behavior by delivery agents on the road in real time or predicting what will be the average no. of deliveries made per hour by each driver in upcoming week.If you are looking for an opportunity to build creative technology solutions that positively impact hundreds of millions of international customers, and relish large ownership and diverse technologies join our team today!You will collaborate with Data Scientist, engineers, executives, and designers, You will be instrumental in shaping the product direction and will be actively involved in defining key product features that impact the business.Also, will be responsible to set up and hold a high software quality bar besides providing technical direction to a highly technical team of Software Engineers.The ideal candidate will be a leader, quick learner and be able to work independently. He/she should be able to operate in a very fast paced environment where time to hit market is super critical. The candidate will need to balance technical leadership and savvy with strong business judgment to make the right decisions about technology choices.· Basic Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus· Preferred Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","Basic Qualifications- Master’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus",Fulfilment Transportation
22,Applied Scientist,"US, WA, Seattle","June  5, 2019",https://www.amazon.jobs/en-gb/jobs/871584/applied-scientist,"Do you know Amazon Logistics has grown by 6 times since 2016 in established markets like North America? Do you know that it is handling more than 80% of Amazon shipments in developing countries like India? Curious to develop sustainable solutions that cater to such rapidly scaling business and countries with widely different customer or driver expectations? Interested in modelling and understanding customer behavior through machine learning, artificial intelligence, and data mining over TB scale data with huge business impact on millions of customers?The problems spread across Routing, Maps, Geocoding, Address Normalization, fraud detection, defect attribution, labor planning spaces, etc. Some examples include determining optimal route for a driver to deliver a set of packages with many customer and on-ground constraints. Creating a mapping infrastructure ground-up right from scratch. Detecting and pre-empting anomalous behavior by delivery agents on the road in real time or predicting what will be the average no. of deliveries made per hour by each driver in upcoming week.If you are looking for an opportunity to build creative technology solutions that positively impact hundreds of millions of international customers, and relish large ownership and diverse technologies join our team today!You will collaborate with Data Scientist, engineers, executives, and designers, You will be instrumental in shaping the product direction and will be actively involved in defining key product features that impact the business.Also, will be responsible to set up and hold a high software quality bar besides providing technical direction to a highly technical team of Software Engineers.The ideal candidate will be a leader, quick learner and be able to work independently. He/she should be able to operate in a very fast paced environment where time to hit market is super critical. The candidate will need to balance technical leadership and savvy with strong business judgment to make the right decisions about technology choices.· Basic Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus· Preferred Qualifications- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","Basic Qualifications- Master’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus","- Bachelor’s Degree in quantitative disciplines (Engineering, Statistics).- Familiarity with analytics methods. At least three (Data Prep / Wrangling, Custom Reports / Dashboards, Statistical Inference, Clustering, regression & classification).- Proficient in Data / Analytics platforms as a user. At least two (SQL, R, Python).- Full Time / Regular degree from Tier 1 Colleges is a plus",Fulfilment Transportation
23,Data Scientist II,"US, NY, New York","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/871179/data-scientist-ii,"Amazon's Customer Service (CS) department is seeking an experienced Data Scientist to join the team. Customer service is the heart of Amazon, our vision is to be ""Earth's most customer-centric company; to build a place where people can come to find and discover anything they might want to buy online.""The successful candidate will be a key member of the EU CS Voice of Customer team. The mission of this new team will be to analyse customer feedback, create actionable insights and improve the customer experience together with our EU business partners. The team consists of program managers, business analysts and another data scientist.As the EU CS Data Scientist, you will support the analytical strategy for EU Customer Service. You have a hands-on approach and support complex projects to drive customer experience improvements, often in new territory, with quantifiable impact for the customer. You drive innovation and rigorous analysis to optimize defect elimination. You anticipate and develop solutions that can address forward-looking business problems. You simplify the design and improve the accuracy of existing solutions, models, processes, and technologies.This position can be located in any EU CS ((Cork, Edinburgh, Regensburg, Berlin, Rabat, Cagliari) or corporate site (Paris, Madrid, Milan, Paris, Luxembourg).Key Responsibilities:Responsibility includes but is not limited to:· Define the analytical approach to business problems and drive implementation of new tools in collaboration with WW product teams· Influence EU CS strategy and business partners by challenging assumptions and driving evidence-based decision making· Evaluate cross-team perspectives and understand how interactions among teams, processes, and software systems need to be modelled in analytics solutions· Investigate the feasibility of applying scientific principles and concepts to business problems and products· Deep dive into a significant opportunity, designing the right scientific approach and delivering the solution to drive data insight or describe an end-to-end system· Develop scalable algorithms and models to support business decision makingHelp raise awareness and educate the organization on new and well-established data science techniques","· MS in Statistics, Applied Math, Operations Research, Economics, or a related quantitative field and 2+ years of relevant working experience; or BS and 8 years of working experience.· Understands challenges in business area, applicability of relevant data science disciplines, and system interactions; able to keep others current on scientific advancements· Experience with math/stats software, i.e. R, Python or other domain specific software· Strong communicator, able to communicate goals and strategies across multiple leadership levels of an organization· Pragmatic problem solver, applying judgment and experience to balance cross-organization trade-offs between competing interests· Flexible, adapting your approach to meet the needs of the team, project, and product· Team player who works constructively and transparently within the wider teamStrong sense of urgency and personal commitment","· French, German, Italian or Spanish language skills would be advantageous but is not essential",Customer Service Technology
24,Data Scientist,"US, NJ, Newark","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/871174/data-scientist,"Working at Amazon RoboticsAre you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers that work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences in ways we can’t even image yet. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling and fun.Position OverviewThe Amazon Robotics (AR) Virtual Systems Profiling team builds models, runs simulation experiments and delivers analyses that are central to understanding performance of the entire AR system, e.g. operational and software scaling characteristics, bottlenecks, robustness to “chaos monkey” stresses -- we inform critical engineering and business decisions about Amazon’s approach to robotic fulfillment.We seek a talented and motivated engineer to tackle broad challenges in system-level analysis. You will work in a small team to quantify system performance at scale and to expand the breadth and depth of our analysis (e.g. increase the range of software components and warehouse processes covered by our models, develop our library of key performance indicators, construct experiments that efficiently root cause emergent behaviors). You will engage with growing teams of software development and warehouse design engineers to drive evolution of the AR system and of the simulation engine that supports our work.","· Masters degree in Data Science, Statistics, Operations Research, or in highly quantitative field (e.g. Computer Science, Operations Research, Systems Engineering, Physics), or BS with 3 years of experience.· Experience in predictive modeling, data science and analysis· Programming experience in Python, R or equivalent· Demonstrated experience in data science and data analysis· Desire to pursue challenging questions through extensive operational and data analysis (experience to do data analysis, regression analysis)· Demonstrated outstanding written and verbal communication skills· Experience giving data presentations with graphical or data visualization tools","· Comfortable in a Linux environment· · Experience with Amazon Web Services (AWS), e.g. DynamoDB, AuroraDB (MySQL), S3, SQS, SNS, EC2· · Interest in and experience with experimental design· · Background in applied statistics or machine learning",Amazon Robotics
25,WWPS Data Analyst - Intern,"US, VA, Herndon","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/871169/wwps-data-analyst-intern,"Amazon strives to be the world’s most customer centric company with lot of high end innovation.The Senior Data Engineer is a newly created role to build world class data platform and deploy scalable business intelligence tools within our Procurement Analytics team. The ideal candidate relishes working with large volumes of data, enjoys the challenge of highly complex technical contexts, and, above all else, is passionate about data and analytics. They are an expert with data modeling, ETL design and business intelligence tools and passionately partners with the business to identify strategic opportunities where improvements in data infrastructure creates outsized business impact. They are a self-starter, comfortable with ambiguity, able to think big (while paying careful attention to detail) and enjoys working in a fast-paced team. The ideal candidate needs to possess exceptional technical expertise in large scale data warehouse and BI systems with hands-on knowledge on SQL, Distributed/MPP data storage, Hadoop and AWS services.Core Responsibilities· Design, implement, and support a platform providing access to large datasets· Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL and other AWS technologies· Implement data structures using best practices in data modeling, ETL/ELT processes, and SQL, Redshift,· Model data and metadata for ad hoc and pre-built reporting· Interface with business customers, gathering requirements and delivering complete reporting solutions· Build robust and scalable data integration (ETL) pipelines using SQL, Python and Spark.· Build and deliver high quality datasets to support business analyst and customer reporting needs.· Continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers· Participate in strategic & tactical planning discussions, including annual budget processes","· Completed bachelor's degree in computer science, engineering, mathematics, or a related technical discipline· 7+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets· 5+ years experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.)· 5+ years experience using business intelligence reporting tools (Tableau, Business Objects, Cognos, etc.)· Experience providing technical leadership and mentoring other engineers for best practices on data engineering· Knowledge of data management fundamentals and data storage principles· Knowledge of distributed systems as it pertains to data storage and computing","· 7+ years of experience as a Data Engineer, BI Engineer, Business/Financial Analyst or Systems Analyst in a company with large, complex data sources.· Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets· Experience working with AWS big data technologies (EMR, Redshift, S3)· Demonstrated strength in data modeling, ETL development, and data warehousing· Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy· Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operationsAmazon offers competitive packages including comprehensive health care, 401(k), restricted stock units, growth potential and a challenging and exciting work environment.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Procurement
26,Data Scientist,"US, WA, Seattle","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/871001/data-scientist,"At Alexa Shopping, we strive to enable shopping in everyday life. We allow customers to instantly order whatever they need, by simply interacting with their Smart Devices such as Amazon Show, Spot, Echo, Dot or Tap. Our Services allow you to shop, no matter where you are or what you are doing, you can go from 'I want that' to 'that's on the way' in a matter of seconds. We are seeking the industry's best to help us create new ways to interact, search and shop. Join us, and you'll be taking part in changing the future of everyday lifeWe are seeking a Data Scientist to be part of the NLU science team for Alexa Shopping. This is a strategic role to shape and deliver our technical strategy in developing and deploying NLU, Machine Learning solutions to our hardest customer facing problems. Our goal is to delight customers by providing a conversational interaction. These initiatives are at the heart of the organization and recognized as the innovations that will allow us to build a differentiated product that exceeds customer expectations. We're a high energy, fast growth business excited to have the opportunity to shape Alexa Shopping NLU is defined for years to come. If this role seems like a good fit, please reach out, we'd love to talk to you.This role requires working closely with business, engineering and other scientists within Alexa Shopping and across Amazon to deliver ground breaking features. You will lead high visibility and high impact programs collaborating with various teams across Amazon. You will work with a team of Language Engineers and Scientists to launch new customer facing features and improve the current features.","· Bachelor or Master's degree in highly quantitative field (CS, machine learning, mathematics, statistics) or equivalent experience.· Experience with R, Python, Weka, SAS, Matlab or other statistical/machine learning software.· Experience applying various machine learning techniques, and understanding the key parameters that affect their performance.· Experience developing experimental and analytic plans for data modeling processes, use of strong baselines, and the ability to accurately determine cause and effect relationships.· Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.","· 3+ years of experience with machine learning, statistical modeling, data mining, and analytics techniques.· Experience in one or more natural language processing topics: tagging, syntactic parsing, word sense disambiguation, topic modeling; contextual text mining, and application of deep learning to NLP.· Previous experience in a ML or data scientist role with a large technology company.· Fluency in a language other than English",Alexa Shopping
27,Data Scientist,"US, WA, Seattle","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/870883/data-scientist,"Amazon Product Imaging builds the world’s best online shopping experience through photography, video, graphic design, AR/VR, 3D and usability design enabling millions of customers to make more informed purchasing decisions. Imaging at Amazon is a large and fast-growing network of teams located throughout North America, Europe, India and Asia, focusing on fashion and product photography, photo retouching, graphic design, and image support services. We are continually innovating and setting new industry standards for showcasing 10s of millions of products across multiple global marketplaces. We are obsessed with innovating on behalf of our customers, and continually push beyond the boundaries of traditional e-commerce photography and videography.As a Data Scientist, you’ll be helping drive business across multiple geographies by data mining, testing, analyzing and transforming data into actionable insights. You'll own aspects of the data creation and management, data pre-processing, modeling and inference considerations. You will also be involved in our efforts to develop and mature a scalable program to test and learn various imaging innovation and impact of product images on customer experience, sales, and production efficiency. Your analyses and experiments will drive future direction of imaging: how we showcase our products that is most informative to customers while striving production efficiency.The ideal candidate has outstanding business acumen, excellent analytical abilities, a strong automation and solution oriented thought process and intense curiosity. The candidate will have a strong bias towards data-driven decision-making and will be comfortable with ambiguity while working in a fast-paced dynamic environment.Key Responsibilities- Identifying, developing and executing data analysis to uncover areas of business opportunity.- Presenting written recommendations and insights to key stakeholders that will help shape effective Imaging strategies worldwide.- Design and execute analyses and data mining by utilizing available analysis tools, interpret the results and develop recommendations and actionable steps based on the learning.- Shaping and informing key metrics and indicators by which Imaging will assess its performance.- Learn and understand a broad range of Amazon’s data resources and know how, when and which data sources to use.- Deep dive into massive data sets to answer key business questions.- Manage and execute entire projects or components of large projects from start to finish including project. management, data gathering and manipulation, synthesis and modeling and problem solving.","· Degree in Computer Science, Statistics, Mathematics, or a related field or 5+ years industry experience· Demonstrated strength in data mining, machine learning techniques and statistics· Knowledge and experience of writing and tuning SQL· Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)· Experience customer/user behavior analysis· Familiarity with using data visualization tools· Track record of diving into data to discover hidden patterns· Ability to translate business problems into solutions· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· A desire to work in a collaborative, intellectually curious environment· Experience working with global teams","· Industry experience as a Data Scientist or related specialty (e.g., Software Engineer, Business Intelligence Engineer) with a track record of manipulating, processing, and extracting value from large data sets· Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc)· Experience leading large-scale analytics projects, including using AWS technologies (e.g., Redshift, S3)· Experience providing technical leadership and mentor other data analysts· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within organization· Demonstrated high degree of organization and ability to manage multiple, competing priorities· Strong verbal and written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams· Project management experience",Product Imaging
28,Prime Air Sr. Data Engineer,"US, WA, Seattle","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/870874/prime-air-sr-data-engineer,"We are growing and taking on more to make the world safe for ecommerce. Amazon.com's TRMS team is a centralized technology team that protect all of Amazon’s businesses and services from fraud and abuse. These systems, invisible to the customer, work seamlessly across the billions of transactions occurring simultaneously around the world. We are pioneering new techniques to detect and neutralize bad actors that attempt to abuse our policies.TRMS designs and builds high performance software systems using machine learning to identify and prevent abusive transactions. Abuse prevention is a real money game where our software teams strive to outsmart those who attempt to defraud Amazon and our customers. Come build with us! Every dollar of abuse that we prevent is a dollar of profit for Amazon or its 3P Sellers, a dollar that could be reinvested to deliver new features for our customers. Because of Amazon's huge scale, this a great opportunity to add hundreds of millions to the bottom line.TRMS is seeking an innovative, results-oriented, customer-centric data scientist to drive expansion of innovative ML products globally in the Policy Risk space.As a Data Scientist, you will be responsible for modeling complex problems, discovering insights and identifying opportunities through the use of statistical, machine learning, algorithmic, data mining and visualization techniques. You will need to collaborate effectively with internal stakeholders and cross-functional teams to solve problems, create operational efficiencies, and deliver successfully against high organizational standards. The candidate should be able to apply a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in concise and effective manner. Additionally, the candidate should be an effective communicator capable of independently driving issues to resolution and communicating insights to non-technical audiences. This is a high impact role with goals that directly impacts the bottom line of the business.Responsibilities:· Use predictive analytics and machine learning techniques to solve complex problems and drive business decisions.· Employ the appropriate algorithms to discover patterns of risks, abuse and help reduce bad debt· Design experiments, test hypotheses, and build actionable models to optimize TRMS operations· Solve analytical problems, and effectively communicate methodologies and results· Build predict models to forecast risks for product launches and operations and help predict workflow and capacity requirements for TRMS operations· Draw inferences and conclusions, and create dashboards and visualizations of processed data, identify trends, anomalies· Work closely with internal stakeholders such as business teams, engineering teams, and partner teams and align them with respect to your focus area","· Master’s Degree in any quantitative discipline such as Statistics, Mathematics, Quantitative Finance, computer science, or Operational Research· 4+ years of experience working in Analytics / Business Intelligence environment· 4+ years professional experience in modeling and statistical analysis of large data sets· Proven experience in working with databases and SQL in a business environment· Demonstrated use of analytical packages and query languages such as SAS, SPSS and SQL· Proven experience in design and execution of analytical projects· Demonstrated experience working in large scale data bases and data warehouses· Track record of developing and implementing models using programming and scripting (Java, Python, R, Ruby, C/C++, or Matlab)","· Experience/knowledge of advanced machine learning techniques such as GBM, random forest, etc.· Experience in e-commerce / on-line companies in fraud / risk control functions· Coding skills in one of the modern languages Java, Python, Scala, R· Experience with visualization technologies such as Tableau· Experience in statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering, and natural language processing, experimental design, social networking analysis, feature engineering, etc.· Compelling communication and influencing skills and participation in winning the support of management and influence the course of major strategic decisionsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Transaction Risk Management Systems
29,Data Scientist,"US, NJ, Newark","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/870775/data-scientist,"Amazon is seeking an experienced candidate to develop and manage our growing global supply chain as part of Amazon Global Logistics.Since 1995, Amazon has focused on being ""Earth's most customer-centric company."" Amazon Global Logistics supports and advances this mission by developing game-changing international capabilities and innovative supply chain strategies. We are a fast-paced, exciting, and growing organization in search of the planet's most talented supply chain professionals. We ""think globally, act locally"" to revolutionize a worldwide customer experience and fulfill our promise to become the world's first truly global e-commerce company.This candidate will deliver network design recommendations and analysis for Amazon Network Design and Planning team. The candidate will engage in opportunities to ""go deep"" on a variety of initiatives, understanding business needs and guiding business strategy through the collection and synthesis of complex data.Responsibilities of this role include:· · Performing creative analysis using incomplete data to answer strategic business questions and support program development.· · Developing new and maintaining existing self-service tools used throughout our organization to help drive improvements in the network.· · Communicating strategic decisions in formal updates to a wide variety of stakeholders, including executive-level sponsors.","o M.S. (B.S.) in Computer Science, Statistics, Math, Engineering, or related industry experience.o 2+ years of quantitative experience in Logistics/Supply Chain, Transportation, Engineering or related Businesses.o Experience with big data: extraction, processing, filtering, and presenting large quantities (100K to Millions of rows) of data.o Experience with data process: AWS technologies, SQL, and data pipelineso 2+ years of experience with statistical tools (e.g. R, Python) and analysis, regression modeling and forecasting.o 2+ years of experience with one or more programming languages (e.g. Python, Java, C++, C#, Ruby)o 2+ years of experience in machine-learning packages (e.g. supervised and unsupervised learning, classification, random forest,..etc.)","o Experience in building optimization model and simulationo Experience with clustered data processing (e.g. Hadoop, Spark, Map-reduce, Hive)o Experience with ensemble modelso Experience with agile or scrum methodologyo Experience in communicating technically, at a level appropriate for the audience.o Ability to develop experimental plans for data modeling processes, use of strong baselines, ability to accurately understand cause and effect relationso Experience in creating data driven visualizations to describe an end-to-end systemAmazon offers competitive packages including comprehensive health care, 401(k), restricted stock units, growth potential and a challenging and exciting work environment.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Fulfilment Transportation
30,Data Scientist II,"IN, TS, Hyderabad","June  4, 2019",https://www.amazon.jobs/en-gb/jobs/870497/data-scientist-ii,"Amazon's Intelligent Cloud Control Group in Berlin is looking for a Sr. Data Scientist to develop data science implementations that will revolutionize the way Amazon manages its cloud computing infrastructure. With an ever-growing number of fleets, developers, customers, products, marketplaces, sellers, and businesses the Amazon service graph is one of the largest and most complex technical ecosystems in the world. We are building an Intelligent Cloud Control system that enables Amazon businesses (Retail, Amazon Video, Kindle, and more) to accelerate innovation in the cloud.As a data scientist in the Intelligent Cloud Control team, you'll partner with technology and business teams to build new services that surprise and delight our customers. We develop cutting edge algorithms that involve learning from large datasets such as monitoring telemetry and logs from every host at Amazon. You will own mining these vast datasets for business insights, developing prototypes to evaluate the viability of new approaches, and designing sustainable data products from these opportunities. You will collaborate with software development engineers to integrate your models into the customer experience.You will work on mathematical and data problems with a large element of unpredictability. You will analyze and process large amounts of data to find insights that impact every development team at Amazon. You will develop new sophisticated algorithms and improve existing approaches using statistical models, machine learning algorithms, and big data solutions. The products you deliver will revolutionize the way that the Amazon website responds to operational issues, leveraging the most recent advances in machine learning and distributed computing to build automatic remediation systems that cut through the noise and surface emergent issues in real-time.We’re looking for a scientist capable of using data science and other quantitative techniques to design, evaluate, and implement state-of-the-art solutions for never-before-solved problems.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.","· Master's degree in a quantitative field with 4 years of industry experience, or Bachelor's degree in a quantitative field with 8 years of industrial experience· Proficient in Python, R, or a similar scripting language","· PhD in quantitative field· Excellent verbal and written communication· Experienced in using multiple data science methodologies to solve complex business problems· Experienced in handling large data sets using SQL and databases in a business environment· Experienced in building workflows involving large datasets and/or machine learning models in production using distributed computing and big data processing concepts and technologies· Strong troubleshooting and problem solving skills· Thrive in a fast-paced, innovative environment",Consumer Cloud Enablement
